sdf_number,annalog,protonated,isomers,docking_energy
1,C1C2CC3CC1CC(NC(=O)c1nn(C)c(-c4ccccc4)c1C)(C2)C3,Cc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)nn(C)c1-c1ccccc1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(C)c1-c1ccccc1,-11.473
2,C1C2CC3CC1CC(NC(=O)c1nn(CCCN)c(-c4ccccc4)c1C)(C2)C3,Cc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)nn(CCC[NH3+])c1-c1ccccc1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(CCC[NH3+])c1-c1ccccc1,-10.8
3,C1C2CC3CC1CC(NC(=O)c1nn(CCCCN)c(-c4ccccc4)c1C)(C2)C3,Cc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)nn(CCCC[NH3+])c1-c1ccccc1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(CCCC[NH3+])c1-c1ccccc1,-10.885
4,C1C2CC3CC1CC(NC(=O)c1nn(CCCO)c(-c4ccccc4)c1C)(C2)C3,Cc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)nn(CCCO)c1-c1ccccc1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(CCCO)c1-c1ccccc1,-10.679
5,C1C2CC3CC1CC(NC(=O)c1nn(CCCCO)c(-c4ccccc4)c1C)(C2)C3,Cc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)nn(CCCCO)c1-c1ccccc1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(CCCCO)c1-c1ccccc1,-10.829
6,C1C2CC3CC1CC(NC(=O)c1nn(C4CC4)c(-c4ccccc4)c1C)(C2)C3,Cc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)nn(C2CC2)c1-c1ccccc1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(C2CC2)c1-c1ccccc1,-11.57
7,C1C2CC3CC1CC(NC(=O)c1nn(CCO)c(-c4ccccc4)c1C)(C2)C3,Cc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)nn(CCO)c1-c1ccccc1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(CCO)c1-c1ccccc1,-10.759
8,C1C2CC3CC1CC(NC(=O)c1n[nH]c(-c4ccccc4)c1C)(C2)C3,Cc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)n[nH]c1-c1ccccc1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n[nH]c1-c1ccccc1,-11.128
9,C1C2CC3CC1CC(NC(=O)c1n[nH]c(-c4ccccc4)c1C)(C2)C3,Cc1c(-c2ccccc2)n[nH]c1C(=O)NC12CC3CC(CC(C3)C1)C2,Cc1c(-c2ccccc2)n[nH]c1C(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,-11.147
10,C1C2CC3CC1CC(NC(=O)c1nn(CCN)c(-c4ccccc4)c1C)(C2)C3,Cc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)nn(CC[NH3+])c1-c1ccccc1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(CC[NH3+])c1-c1ccccc1,-10.796
11,C1C2CC3CC1CC(NC(=O)c1nn(CCOC)c(-c4ccccc4)c1C)(C2)C3,COCCn1nc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(C)c1-c1ccccc1,COCCn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)c(C)c1-c1ccccc1,-10.998
12,C1C2CC3CC1CC(NC(=O)c1nn(CCCCC)c(-c4ccccc4)c1C)(C2)C3,CCCCCn1nc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(C)c1-c1ccccc1,CCCCCn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)c(C)c1-c1ccccc1,-11.604
13,C1CCCCC1NC(=O)c1nn(CCCCCO)c(-c2ccccc2)c1C,Cc1c(C(=O)NC2CCCCC2)nn(CCCCCO)c1-c1ccccc1,Cc1c(C(=O)NC2CCCCC2)nn(CCCCCO)c1-c1ccccc1,-9.474
14,C1C2CC3CC1CC(NC(=O)c1nn(CC(C)C)c(-c4ccccc4)c1C)(C2)C3,Cc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)nn(CC(C)C)c1-c1ccccc1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(CC(C)C)c1-c1ccccc1,-11.899
15,C1C2CC3CC1CC(NC(=O)c1nn(C(C)C)c(-c4ccccc4)c1C)(C2)C3,Cc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)nn(C(C)C)c1-c1ccccc1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(C(C)C)c1-c1ccccc1,-12.007
16,C1C2CC3CC1CC(NC(=O)c1nn(CCCC)c(-c4ccccc4)c1C)(C2)C3,CCCCn1nc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(C)c1-c1ccccc1,CCCCn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)c(C)c1-c1ccccc1,-11.459
17,C1C2CC3CC1CC(NC(=O)c1nn(CCCCCN)c(-c4ccccc4)c1C)(C2)C3,Cc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)nn(CCCCC[NH3+])c1-c1ccccc1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(CCCCC[NH3+])c1-c1ccccc1,-11.054
18,C1C2CC3CC1CC(NC(=O)c1nn(CC4CC4)c(-c4ccccc4)c1C)(C2)C3,Cc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)nn(CC2CC2)c1-c1ccccc1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(CC2CC2)c1-c1ccccc1,-12.008
19,C1C2CC3CC1CC(NC(=O)c1nn(C)c(-c4ccc(OC)cc4)c1C)(C2)C3,COc1ccc(-c2c(C)c(C(=O)NC34CC5CC(CC(C5)C3)C4)nn2C)cc1,COc1ccc(-c2c(C)c(C(=O)N[C@]34C[C@H]5C[C@H](C[C@H](C5)C3)C4)nn2C)cc1,-10.439
20,C1C2CC3CC1CC(NC(=O)c1nn(CCO)c(-c4ccc(F)cc4)c1C)(C2)C3,Cc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)nn(CCO)c1-c1ccc(F)cc1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(CCO)c1-c1ccc(F)cc1,-10.676
21,C1C2CC3CC1CC(NC(=O)c1cn(CCCCCO)c(-c4ccccc4)c1C)(C2)C3,Cc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)cn(CCCCCO)c1-c1ccccc1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cn(CCCCCO)c1-c1ccccc1,-11.173
22,C1C2CC3CC1CC(NC(=O)c1nn(C)c(-c4ccc(Cl)cc4)c1C)(C2)C3,Cc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)nn(C)c1-c1ccc(Cl)cc1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(C)c1-c1ccc(Cl)cc1,-10.757
23,C1C2CC3CC1CC(NC(=O)c1nn(CCC)c(-c4ccccc4)c1C)(C2)C3,CCCn1nc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(C)c1-c1ccccc1,CCCn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)c(C)c1-c1ccccc1,-11.33
24,C1C2CC3CC1CC(NC(=O)c1nn(CCO)c(-c4ccc(Cl)cc4)c1C)(C2)C3,Cc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)nn(CCO)c1-c1ccc(Cl)cc1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(CCO)c1-c1ccc(Cl)cc1,-10.243
25,C1C2CC3CC1CC(NC(=O)c1nn(C)c(-c4ccc(F)cc4)c1C)(C2)C3,Cc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)nn(C)c1-c1ccc(F)cc1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(C)c1-c1ccc(F)cc1,-11.465
26,C1C2CC3CC1CC(NC(=O)c1nn(CCCCCC)c(-c4ccccc4)c1C)(C2)C3,CCCCCCn1nc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(C)c1-c1ccccc1,CCCCCCn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)c(C)c1-c1ccccc1,-11.775
27,C1C2CC3CC1CC(NC(=O)c1nn(C)c(-c4ccccc4)c1)(C2)C3,Cn1nc(C(=O)NC23CC4CC(CC(C4)C2)C3)cc1-c1ccccc1,Cn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccccc1,-11.008
28,C1C2CC3CC1CC(NC(=O)c1nn(CC)c(-c4ccccc4)c1C)(C2)C3,CCn1nc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(C)c1-c1ccccc1,CCn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)c(C)c1-c1ccccc1,-11.43
29,C1C2CC3CC1CC(CNC(=O)c1nn(C)c(-c4ccccc4)c1C)(C2)C3,Cc1c(C(=O)NCC23CC4CC(CC(C4)C2)C3)nn(C)c1-c1ccccc1,Cc1c(C(=O)NC[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(C)c1-c1ccccc1,-11.237
30,C1C2CC3CC1CC(NC(=O)c1nn(CC=C)c(-c4ccccc4)c1C)(C2)C3,C=CCn1nc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(C)c1-c1ccccc1,C=CCn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)c(C)c1-c1ccccc1,-11.414
31,C1C2CC3CC1CC(NC(=O)c1nn(CCCCCl)c(-c4ccccc4)c1C)(C2)C3,Cc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)nn(CCCCCl)c1-c1ccccc1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(CCCCCl)c1-c1ccccc1,-11.383
32,C12CC3CC1CC(NC(=O)c1nn(C)c(-c4ccccc4)c1C)(C2)C3,Cc1c(C(=O)NC23CC4CC(C2)C(C4)C3)nn(C)c1-c1ccccc1,Cc1c(C(=O)N[C@]23C[C@@H]4C[C@H](C2)[C@@H](C4)C3)nn(C)c1-c1ccccc1,-11.003
33,C1C2CC3CC1CC(NC(=O)c1nn(-c4ccccc4)c(C)c1C)(C2)C3,Cc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)nn(-c2ccccc2)c1C,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(-c2ccccc2)c1C,-11.167
34,C1C2CC3CC1CC(NC(=O)c1nn(CCCCO)c(-c4ccccc4)c1)(C2)C3,O=C(NC12CC3CC(CC(C3)C1)C2)c1cc(-c2ccccc2)n(CCCCO)n1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cc(-c2ccccc2)n(CCCCO)n1,-10.459
35,C1C2CC3CC1CC(NC(=O)c1nn(CCCCCF)c(-c4ccccc4)c1C)(C2)C3,Cc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)nn(CCCCCF)c1-c1ccccc1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(CCCCCF)c1-c1ccccc1,-11.527
36,C1C2CC3CC1CC(NC(=O)c1nn(CCCCCO)c(-c4ccccc4)c1)(C2)C3,O=C(NC12CC3CC(CC(C3)C1)C2)c1cc(-c2ccccc2)n(CCCCCO)n1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cc(-c2ccccc2)n(CCCCCO)n1,-10.682
37,C1C2CC3CC1CC(NC(=O)c1nc(CCCCCO)c(-c4ccccc4)n1C)(C2)C3,Cn1c(C(=O)NC23CC4CC(CC(C4)C2)C3)nc(CCCCCO)c1-c1ccccc1,Cn1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nc(CCCCCO)c1-c1ccccc1,-10.963
38,C1C2CC3CC1CC(NC(=O)c1nc(CCCCCO)c(-c4ccccc4)n1C)(C2)C3,Cn1c(C(=O)NC23CC4CC(CC(C4)C2)C3)[nH+]c(CCCCCO)c1-c1ccccc1,Cn1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[nH+]c(CCCCCO)c1-c1ccccc1,-10.931
39,C1C2CC3CC1CC(NC(=O)c1nn(CCCCO)c(-c4ccccc4Cl)c1C)(C2)C3,Cc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)nn(CCCCO)c1-c1ccccc1Cl,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(CCCCO)c1-c1ccccc1Cl,-10.438
