sdf_number,annalog,protonated,isomers,docking_energy,cluster
1,c1c(C(NC2CCCCC2)=O)nn(Cc2ccccc2)c1-c1ccccc1,O=C(NC1CCCCC1)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,O=C(NC1CCCCC1)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,-11.575,6
2,c1c(C(N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)=O)nn(C)c1-c1ccccc1,Cn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccccc1,Cn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccccc1,-10.997,2
3,c1c(C(N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)=O)nn(CC)c1-c1ccccc1,CCn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccccc1,CCn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccccc1,-10.942,2
4,c1c(C(N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)=O)nn(CCC)c1-c1ccccc1,CCCn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccccc1,CCCn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccccc1,-10.944,2
5,c1c(C(N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)=O)n[nH]c1-c1ccccc1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cc(-c2ccccc2)[nH]n1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cc(-c2ccccc2)[nH]n1,-10.784,2
6,c1c(C(N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)=O)n[nH]c1-c1ccccc1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cc(-c2ccccc2)n[nH]1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cc(-c2ccccc2)n[nH]1,-10.806,5
7,c1c(C(N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)=O)nn(Cc2ccccc2)c1CCC,CCCc1cc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn1Cc1ccccc1,CCCc1cc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn1Cc1ccccc1,-11.663,8
8,c1c(C(N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)=O)nn(-c2ccccc2)c1CC,CCc1cc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn1-c1ccccc1,CCc1cc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn1-c1ccccc1,-10.851,2
9,c1cccc(-c2n(Cc3ccccc3)nc(C(NCc3ccccc3)=O)c2)c1,O=C(NCc1ccccc1)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,O=C(NCc1ccccc1)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,-11.628,6
10,c1cccc(-c2n(Cc3ccccc3)nc(C(NC(C)(C)C)=O)c2)c1,CC(C)(C)NC(=O)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,CC(C)(C)NC(=O)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,-10.717,6
11,c1cccc(-c2n(Cc3ccccc3)nc(C(NCC3CCCCC3)=O)c2)c1,O=C(NCC1CCCCC1)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,O=C(NCC1CCCCC1)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,-11.529,6
12,c1cccc(-c2n(Cc3ccccc3)nc(C(NCC(C)(C)C)=O)c2)c1,CC(C)(C)CNC(=O)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,CC(C)(C)CNC(=O)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,-10.526,6
13,c1cccc(-c2n(Cc3ccccc3)nc(C(NCCCC)=O)c2)c1,CCCCNC(=O)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,CCCCNC(=O)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,-9.981,6
14,c1cccc(-c2n(Cc3ccccc3)nc(C(NCC(C)C)=O)c2)c1,CC(C)CNC(=O)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,CC(C)CNC(=O)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,-10.323,6
15,c1cccc(-c2n(Cc3ccccc3)nc(C(NC3CCCCCC3)=O)c2)c1,O=C(NC1CCCCCC1)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,O=C(NC1CCCCCC1)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,-8.996,6
16,[C@H]12C[C@H]3C[C@](NC(c4nn(CC(C)C)c(-c5ccccc5)c4)=O)(C[C@H](C3)C1)C2,CC(C)Cn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccccc1,CC(C)Cn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccccc1,-11.313,2
17,[C@H]12C[C@H]3C[C@](NC(c4nn(C5CCCC5)c(-c5ccccc5)c4)=O)(C[C@H](C3)C1)C2,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cc(-c2ccccc2)n(C2CCCC2)n1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cc(-c2ccccc2)n(C2CCCC2)n1,-12.135,2
18,[C@H]12C[C@H]3C[C@](NC(c4nn(CC5CC5)c(-c5ccccc5)c4)=O)(C[C@H](C3)C1)C2,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cc(-c2ccccc2)n(CC2CC2)n1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cc(-c2ccccc2)n(CC2CC2)n1,-11.475,2
19,[C@H]12C[C@H]3C[C@](NC(c4nn(C5CC5)c(-c5ccccc5)c4)=O)(C[C@H](C3)C1)C2,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cc(-c2ccccc2)n(C2CC2)n1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cc(-c2ccccc2)n(C2CC2)n1,-11.164,2
20,[C@H]12C[C@H]3C[C@](NC(c4nn(CCCC)c(-c5ccccc5)c4)=O)(C[C@H](C3)C1)C2,CCCCn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccccc1,CCCCn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccccc1,-11.025,2
21,c1c(-c2ccccc2)ccc(C(=O)N[C@]23C[C@@H]4C[C@H](C2)C[C@@H](C4)C3)c1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc(-c2ccccc2)cc1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc(-c2ccccc2)cc1,-12.218,0
