sdf_number,annalog,protonated,isomers
1,C1[C@H]2C[C@]3(NC(c4ccccc4)=O)C[C@@H](C[C@H]1C3)C2,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccccc1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccccc1
2,C1[C@H]2C[C@]3(NC(c4cc(Cl)c(Cl)cc4)=O)C[C@@H](C[C@H]1C3)C2,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc(Cl)c(Cl)c1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc(Cl)c(Cl)c1
3,C1[C@H]2C[C@]3(NC(c4cc(C)c(C)cc4)=O)C[C@@H](C[C@H]1C3)C2,Cc1ccc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1C,Cc1ccc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1C
4,C1[C@H]2C[C@]3(NC(c4ccc(OC)cc4)=O)C[C@@H](C[C@H]1C3)C2,COc1ccc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1,COc1ccc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1
5,C1[C@H]2C[C@]3(NC(c4ccc(C)cc4)=O)C[C@@H](C[C@H]1C3)C2,Cc1ccc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1,Cc1ccc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1
6,C1[C@H]2C[C@]3(NC(/C=C/c4ccccc4)=O)C[C@@H](C[C@H]1C3)C2,O=C(/C=C/c1ccccc1)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,O=C(/C=C/c1ccccc1)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
7,C1[C@H]2C[C@]3(NC(c4cc(F)c(F)cc4)=O)C[C@@H](C[C@H]1C3)C2,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc(F)c(F)c1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc(F)c(F)c1
8,C1[C@H]2C[C@]3(NC(c4c(OC)cccc4)=O)C[C@@H](C[C@H]1C3)C2,COc1ccccc1C(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,COc1ccccc1C(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
9,C(N[C@]12C[C@@H]3C[C@H](C1)C[C@H](C2)C3)(C)=O,CC(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,CC(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
10,C(N[C@]12C[C@@H]3C[C@H](C1)C[C@H](C2)C3)(c1cccc(C)c1)=O,Cc1cccc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)c1,Cc1cccc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)c1
11,C(N[C@]12C[C@@H]3C[C@H](C1)C[C@H](C2)C3)(c1ccc(Br)cc1)=O,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc(Br)cc1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc(Br)cc1
12,C(N[C@]12C[C@@H]3C[C@H](C1)C[C@H](C2)C3)(CC)=O,CCC(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,CCC(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
13,c1cc(C(NC2CCCCC2)=O)cc(C)c1-c1ccccc1,Cc1cc(C(=O)NC2CCCCC2)ccc1-c1ccccc1,Cc1cc(C(=O)NC2CCCCC2)ccc1-c1ccccc1
14,c1cc(C(N[C@]23C[C@H]4C[C@H](C[C@@H](C2)C4)C3)=O)ccc1C(F)(F)F,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc(C(F)(F)F)cc1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc(C(F)(F)F)cc1
15,c1cc(C(NC2CCCCC2)=O)ccc1-c1ccccc1,O=C(NC1CCCCC1)c1ccc(-c2ccccc2)cc1,O=C(NC1CCCCC1)c1ccc(-c2ccccc2)cc1
16,c1cc(C(=O)N[C@]23C[C@@H]4C[C@H](C2)C[C@H](C3)C4)ccc1-c1ccccc1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc(-c2ccccc2)cc1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc(-c2ccccc2)cc1
17,c1cc(C(=O)N[C@]23C[C@@H]4C[C@H](C2)C[C@H](C3)C4)ccc1-c1ccc(F)cc1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc(-c2ccc(F)cc2)cc1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc(-c2ccc(F)cc2)cc1
18,c1cc(C(=O)N[C@]23C[C@@H]4C[C@H](C2)C[C@H](C3)C4)ccc1-c1ccc(Cl)cc1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc(-c2ccc(Cl)cc2)cc1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc(-c2ccc(Cl)cc2)cc1
19,C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)(c1ccc2ccccc2c1)=O,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc2ccccc2c1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc2ccccc2c1
20,[C@H]12C[C@H]3C[C@H](C[C@@](NC(c4nn(C)c(-c5ccccc5)c4)=O)(C1)C3)C2,Cn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccccc1,Cn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccccc1
21,[C@H]12C[C@H]3C[C@H](C[C@@](NC(c4nn(C(C)C)c(-c5ccccc5)c4)=O)(C1)C3)C2,CC(C)n1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccccc1,CC(C)n1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccccc1
22,[C@H]12C[C@H]3C[C@H](C[C@@](NC(c4nn(CC)c(-c5ccccc5)c4)=O)(C1)C3)C2,CCn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccccc1,CCn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccccc1
23,[C@H]12C[C@H]3C[C@H](C[C@@](NC(c4nn(C5CC5)c(-c5ccccc5)c4)=O)(C1)C3)C2,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cc(-c2ccccc2)n(C2CC2)n1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cc(-c2ccccc2)n(C2CC2)n1
24,[C@H]12C[C@H]3C[C@H](C[C@@](NC(c4n[nH]c(-c5ccccc5)c4)=O)(C1)C3)C2,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cc(-c2ccccc2)[nH]n1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cc(-c2ccccc2)[nH]n1
25,[C@H]12C[C@H]3C[C@H](C[C@@](NC(c4n[nH]c(-c5ccccc5)c4)=O)(C1)C3)C2,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cc(-c2ccccc2)n[nH]1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cc(-c2ccccc2)n[nH]1
26,[C@H]12C[C@H]3C[C@H](C[C@@](NC(c4nn(CCCC)c(-c5ccccc5)c4)=O)(C1)C3)C2,CCCCn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccccc1,CCCCn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccccc1
27,[C@H]12C[C@H]3C[C@H](C[C@@](NC(c4nn(CCC)c(-c5ccccc5)c4)=O)(C1)C3)C2,CCCn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccccc1,CCCn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccccc1
28,[C@H]12C[C@H]3C[C@H](C[C@@](O)(C1)C3)C2,O[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,O[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
29,C1CCC(n2nc(C(=O)NC3CCCCC3)cc2-c2ccccc2)C1,O=C(NC1CCCCC1)c1cc(-c2ccccc2)n(C2CCCC2)n1,O=C(NC1CCCCC1)c1cc(-c2ccccc2)n(C2CCCC2)n1
30,C1CCC(n2nc(C(=O)NC3CCCCCC3)cc2-c2ccccc2)C1,O=C(NC1CCCCCC1)c1cc(-c2ccccc2)n(C2CCCC2)n1,O=C(NC1CCCCCC1)c1cc(-c2ccccc2)n(C2CCCC2)n1
31,C1CCC(n2nc(C(=O)NCc3ccccc3)cc2-c2ccccc2)C1,O=C(NCc1ccccc1)c1cc(-c2ccccc2)n(C2CCCC2)n1,O=C(NCc1ccccc1)c1cc(-c2ccccc2)n(C2CCCC2)n1
32,C1CCC(n2nc(C(=O)NC3CC3)cc2-c2ccccc2)C1,O=C(NC1CC1)c1cc(-c2ccccc2)n(C2CCCC2)n1,O=C(NC1CC1)c1cc(-c2ccccc2)n(C2CCCC2)n1
33,C1CCC(n2nc(C(=O)NC(C)(C)C)cc2-c2ccccc2)C1,CC(C)(C)NC(=O)c1cc(-c2ccccc2)n(C2CCCC2)n1,CC(C)(C)NC(=O)c1cc(-c2ccccc2)n(C2CCCC2)n1
