sdf_number,annalog,protonated,isomers
1,C1[C@]2(NC(=O)c3sc(-c4ccccc4)nn3)C[C@@H]3C[C@H]1C[C@@H](C3)C2,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nnc(-c2ccccc2)s1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nnc(-c2ccccc2)s1
2,C1[C@]2(NC(=O)c3oc(-c4ccccc4)cn3)C[C@@H]3C[C@H]1C[C@@H](C3)C2,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ncc(-c2ccccc2)o1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ncc(-c2ccccc2)o1
3,C1[C@]2(NC(=O)c3oc(Cc4ccccc4)nn3)C[C@@H]3C[C@H]1C[C@@H](C3)C2,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nnc(Cc2ccccc2)o1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nnc(Cc2ccccc2)o1
4,C1[C@]2(NC(=O)c3oc(C)nn3)C[C@@H]3C[C@H]1C[C@@H](C3)C2,Cc1nnc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)o1,Cc1nnc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)o1
5,C1[C@]2(NC(=O)c3onc(-c4ccccc4)n3)C[C@@H]3C[C@H]1C[C@@H](C3)C2,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nc(-c2ccccc2)no1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nc(-c2ccccc2)no1
6,C1[C@]2(NC(=O)c3onnn3)C[C@@H]3C[C@H]1C[C@@H](C3)C2,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nnno1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nnno1
7,C1[C@]2(NC(=O)c3ocnn3)C[C@@H]3C[C@H]1C[C@@H](C3)C2,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nnco1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nnco1
8,[C@H]12C[C@@H]3C[C@](NC(=O)/C=C/c4ccccc4)(C1)C[C@@H](C3)C2,O=C(/C=C/c1ccccc1)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,O=C(/C=C/c1ccccc1)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
9,[C@H]12C[C@@H]3C[C@](NC(=O)c4cn(-c5ccccc5)nn4)(C1)C[C@@H](C3)C2,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cn(-c2ccccc2)nn1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cn(-c2ccccc2)nn1
10,c1ccccc1-c1oc(C(NC2CCCCC2)=O)nn1,O=C(NC1CCCCC1)c1nnc(-c2ccccc2)o1,O=C(NC1CCCCC1)c1nnc(-c2ccccc2)o1
11,c1ccccc1-c1oc(C(N2CCCCC2)=O)nn1,O=C(c1nnc(-c2ccccc2)o1)N1CCCCC1,O=C(c1nnc(-c2ccccc2)o1)N1CCCCC1
12,c1ccccc1-c1oc(C(NCc2ccccc2)=O)nn1,O=C(NCc1ccccc1)c1nnc(-c2ccccc2)o1,O=C(NCc1ccccc1)c1nnc(-c2ccccc2)o1
