sdf_number,annalog,protonated,isomers,docking_energy,cluster
1,C1CCCC(c2[nH]c(C(NC3CCCCC3)=O)nn2)C1,O=C(NC1CCCCC1)c1nnc(C2CCCCC2)[nH]1,O=C(NC1CCCCC1)c1nnc(C2CCCCC2)[nH]1,-9.002,9
2,C1CCCC(c2[nH]c(C(NC3CCCCC3)=O)nn2)C1,O=C(NC1CCCCC1)c1nc(C2CCCCC2)n[nH]1,O=C(NC1CCCCC1)c1nc(C2CCCCC2)n[nH]1,-8.665,6
3,C1CCCC(c2[nH]c(C(NC3CCCCC3)=O)nn2)C1,O=C(NC1CCCCC1)c1n[nH]c(C2CCCCC2)n1,O=C(NC1CCCCC1)c1n[nH]c(C2CCCCC2)n1,-8.747,0
4,C1CCCC(c2[nH]c(C(NC3C4CC5CC(CC3C5)C4)=O)nn2)C1,O=C(NC1C2CC3CC(C2)CC1C3)c1nnc(C2CCCCC2)[nH]1,O=C(N[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3)c1nnc(C2CCCCC2)[nH]1,-10.532,6
5,C1CCCC(c2[nH]c(C(NC3C4CC5CC(CC3C5)C4)=O)nn2)C1,O=C(NC1C2CC3CC(C2)CC1C3)c1nc(C2CCCCC2)n[nH]1,O=C(N[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3)c1nc(C2CCCCC2)n[nH]1,-10.492,6
6,C1CCCC(c2[nH]c(C(NC3C4CC5CC(CC3C5)C4)=O)nn2)C1,O=C(NC1C2CC3CC(C2)CC1C3)c1n[nH]c(C2CCCCC2)n1,O=C(N[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3)c1n[nH]c(C2CCCCC2)n1,-10.489,0
7,C1CCCC(c2[nH]c(C(NCc3ccccc3)=O)nn2)C1,O=C(NCc1ccccc1)c1nnc(C2CCCCC2)[nH]1,O=C(NCc1ccccc1)c1nnc(C2CCCCC2)[nH]1,-9.324,9
8,C1CCCC(c2[nH]c(C(NCc3ccccc3)=O)nn2)C1,O=C(NCc1ccccc1)c1nc(C2CCCCC2)n[nH]1,O=C(NCc1ccccc1)c1nc(C2CCCCC2)n[nH]1,-9.361,14
9,C1CCCC(c2[nH]c(C(NCc3ccccc3)=O)nn2)C1,O=C(NCc1ccccc1)c1n[nH]c(C2CCCCC2)n1,O=C(NCc1ccccc1)c1n[nH]c(C2CCCCC2)n1,-9.308,7
10,C1CCCC(c2[nH]c(C(NC3CCCCCC3)=O)nn2)C1,O=C(NC1CCCCCC1)c1nnc(C2CCCCC2)[nH]1,O=C(NC1CCCCCC1)c1nnc(C2CCCCC2)[nH]1,-6.7,9
11,C1CCCC(c2[nH]c(C(NC3CCCCCC3)=O)nn2)C1,O=C(NC1CCCCCC1)c1nc(C2CCCCC2)n[nH]1,O=C(NC1CCCCCC1)c1nc(C2CCCCC2)n[nH]1,-6.7,6
12,C1CCCC(c2[nH]c(C(NC3CCCCCC3)=O)nn2)C1,O=C(NC1CCCCCC1)c1n[nH]c(C2CCCCC2)n1,O=C(NC1CCCCCC1)c1n[nH]c(C2CCCCC2)n1,-6.62,0
13,C1CCCC(c2[nH]c(C(N3C4CC5CC(CC3C5)C4)=O)nn2)C1,O=C(c1nnc(C2CCCCC2)[nH]1)N1C2CC3CC(C2)CC1C3,O=C(c1nnc(C2CCCCC2)[nH]1)N1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2,-10.086,27
14,C1CCCC(c2[nH]c(C(N3C4CC5CC(CC3C5)C4)=O)nn2)C1,O=C(c1nc(C2CCCCC2)n[nH]1)N1C2CC3CC(C2)CC1C3,O=C(c1nc(C2CCCCC2)n[nH]1)N1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2,-10.229,26
15,C1CCCC(c2[nH]c(C(N3C4CC5CC(CC3C5)C4)=O)nn2)C1,O=C(c1n[nH]c(C2CCCCC2)n1)N1C2CC3CC(C2)CC1C3,O=C(c1n[nH]c(C2CCCCC2)n1)N1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2,-6.59,26
16,C1CCCC(c2[nH]c(C(Nc3ccc(C(F)(F)F)cc3)=O)nn2)C1,O=C(Nc1ccc(C(F)(F)F)cc1)c1nnc(C2CCCCC2)[nH]1,O=C(Nc1ccc(C(F)(F)F)cc1)c1nnc(C2CCCCC2)[nH]1,-10.328,9
17,C1CCCC(c2[nH]c(C(Nc3ccc(C(F)(F)F)cc3)=O)nn2)C1,O=C(Nc1ccc(C(F)(F)F)cc1)c1nc(C2CCCCC2)n[nH]1,O=C(Nc1ccc(C(F)(F)F)cc1)c1nc(C2CCCCC2)n[nH]1,-10.419,13
18,C1CCCC(c2[nH]c(C(Nc3ccc(C(F)(F)F)cc3)=O)nn2)C1,O=C(Nc1ccc(C(F)(F)F)cc1)c1n[nH]c(C2CCCCC2)n1,O=C(Nc1ccc(C(F)(F)F)cc1)c1n[nH]c(C2CCCCC2)n1,-10.551,7
19,C1CCCC(c2[nH]c(C(Nc3ccccc3)=O)nn2)C1,O=C(Nc1ccccc1)c1nnc(C2CCCCC2)[nH]1,O=C(Nc1ccccc1)c1nnc(C2CCCCC2)[nH]1,-9.076,9
20,C1CCCC(c2[nH]c(C(Nc3ccccc3)=O)nn2)C1,O=C(Nc1ccccc1)c1nc(C2CCCCC2)n[nH]1,O=C(Nc1ccccc1)c1nc(C2CCCCC2)n[nH]1,-9.018,7
21,C1CCCC(c2[nH]c(C(Nc3ccccc3)=O)nn2)C1,O=C(Nc1ccccc1)c1n[nH]c(C2CCCCC2)n1,O=C(Nc1ccccc1)c1n[nH]c(C2CCCCC2)n1,-8.872,7
22,O=C(N[C@]12C[C@@H]3C[C@H](C1)C[C@@H](C3)C2)c1[nH]c(-c2ccccc2)nn1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nnc(-c2ccccc2)[nH]1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nnc(-c2ccccc2)[nH]1,-10.566,3
23,O=C(N[C@]12C[C@@H]3C[C@H](C1)C[C@@H](C3)C2)c1[nH]c(-c2ccccc2)nn1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nc(-c2ccccc2)n[nH]1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nc(-c2ccccc2)n[nH]1,-10.598,2
24,O=C(N[C@]12C[C@@H]3C[C@H](C1)C[C@@H](C3)C2)c1[nH]c(-c2ccccc2)nn1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1n[nH]c(-c2ccccc2)n1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1n[nH]c(-c2ccccc2)n1,-10.616,12
25,O=C(NC12CC3CC(C1)CC(C3)C2)c1[nH]c(C2CCCCC2)nn1,O=C(NC12CC3CC(CC(C3)C1)C2)c1nnc(C2CCCCC2)[nH]1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nnc(C2CCCCC2)[nH]1,-10.587,0
26,O=C(NC12CC3CC(C1)CC(C3)C2)c1[nH]c(C2CCCCC2)nn1,O=C(NC12CC3CC(CC(C3)C1)C2)c1nc(C2CCCCC2)n[nH]1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nc(C2CCCCC2)n[nH]1,-10.533,0
27,O=C(NC12CC3CC(C1)CC(C3)C2)c1[nH]c(C2CCCCC2)nn1,O=C(NC12CC3CC(CC(C3)C1)C2)c1n[nH]c(C2CCCCC2)n1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1n[nH]c(C2CCCCC2)n1,-10.591,0
28,O=C(N[C@]12C[C@@H]3C[C@H](C1)C[C@@H](C3)C2)c1oc(-c2ccccc2)nn1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nnc(-c2ccccc2)o1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nnc(-c2ccccc2)o1,-10.619,45
29,O=C(N[C@]12C[C@@H]3C[C@H](C1)C[C@@H](C3)C2)c1cn(-c2ccccc2)nn1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cn(-c2ccccc2)nn1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cn(-c2ccccc2)nn1,-10.467,25
30,O=C(N[C@]12C[C@@H]3C[C@H](C1)C[C@@H](C3)C2)c1nn(-c2ccccc2)nn1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nnn(-c2ccccc2)n1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nnn(-c2ccccc2)n1,-10.38,25
31,C1[C@H]2C[C@@]3(NC(c4nnc(C5CC5)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nnc(C2CC2)[nH]1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nnc(C2CC2)[nH]1,-9.482,3
32,C1[C@H]2C[C@@]3(NC(c4nnc(C5CC5)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nc(C2CC2)n[nH]1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nc(C2CC2)n[nH]1,-9.348,2
33,C1[C@H]2C[C@@]3(NC(c4nnc(C5CC5)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1n[nH]c(C2CC2)n1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1n[nH]c(C2CC2)n1,-9.571,0
34,C1[C@H]2C[C@@]3(NC(c4nnc(C5CCCC5)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nnc(C2CCCC2)[nH]1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nnc(C2CCCC2)[nH]1,-9.874,3
35,C1[C@H]2C[C@@]3(NC(c4nnc(C5CCCC5)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nc(C2CCCC2)n[nH]1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nc(C2CCCC2)n[nH]1,-9.933,0
36,C1[C@H]2C[C@@]3(NC(c4nnc(C5CCCC5)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1n[nH]c(C2CCCC2)n1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1n[nH]c(C2CCCC2)n1,-9.729,0
37,C1[C@H]2C[C@@]3(NC(c4nnc(C)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,Cc1nnc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[nH]1,Cc1nnc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[nH]1,-9.149,3
38,C1[C@H]2C[C@@]3(NC(c4nnc(C)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,Cc1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n[nH]1,Cc1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n[nH]1,-9.173,0
39,C1[C@H]2C[C@@]3(NC(c4nnc(C)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,Cc1n[nH]c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n1,Cc1n[nH]c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n1,-9.043,2
40,C1[C@H]2C[C@@]3(NC(c4nnc(C(C)C)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,CC(C)c1nnc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[nH]1,CC(C)c1nnc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[nH]1,-9.31,3
41,C1[C@H]2C[C@@]3(NC(c4nnc(C(C)C)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,CC(C)c1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n[nH]1,CC(C)c1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n[nH]1,-9.374,5
42,C1[C@H]2C[C@@]3(NC(c4nnc(C(C)C)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,CC(C)c1n[nH]c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n1,CC(C)c1n[nH]c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n1,-9.227,2
43,C1[C@H]2C[C@@]3(NC(c4nnc(CC(C)C)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,CC(C)Cc1nnc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[nH]1,CC(C)Cc1nnc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[nH]1,-9.179,3
44,C1[C@H]2C[C@@]3(NC(c4nnc(CC(C)C)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,CC(C)Cc1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n[nH]1,CC(C)Cc1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n[nH]1,-9.686,5
45,C1[C@H]2C[C@@]3(NC(c4nnc(CC(C)C)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,CC(C)Cc1n[nH]c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n1,CC(C)Cc1n[nH]c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n1,-9.184,2
46,C1[C@H]2C[C@@]3(NC(c4nnc(CCC)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,CCCc1nnc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[nH]1,CCCc1nnc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[nH]1,-9.623,3
47,C1[C@H]2C[C@@]3(NC(c4nnc(CCC)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,CCCc1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n[nH]1,CCCc1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n[nH]1,-9.585,5
48,C1[C@H]2C[C@@]3(NC(c4nnc(CCC)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,CCCc1n[nH]c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n1,CCCc1n[nH]c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n1,-9.437,2
49,O=C(N1CCOCC1)c1nnc(-c2ccccc2)o1,O=C(c1nnc(-c2ccccc2)o1)N1CCOCC1,O=C(c1nnc(-c2ccccc2)o1)N1CCOCC1,-8.421,4
50,O=C(N(CC)CC)c1nnc(-c2ccccc2)o1,CCN(CC)C(=O)c1nnc(-c2ccccc2)o1,CCN(CC)C(=O)c1nnc(-c2ccccc2)o1,-7.737,24
51,O=C(NCc1ccccc1)c1nnc(-c2ccccc2)o1,O=C(NCc1ccccc1)c1nnc(-c2ccccc2)o1,O=C(NCc1ccccc1)c1nnc(-c2ccccc2)o1,-9.375,11
52,O=C(NC1CCCCC1)c1nnc(-c2ccccc2)o1,O=C(NC1CCCCC1)c1nnc(-c2ccccc2)o1,O=C(NC1CCCCC1)c1nnc(-c2ccccc2)o1,-9.517,44
53,O=C(N(C)C)c1nnc(-c2ccccc2)o1,CN(C)C(=O)c1nnc(-c2ccccc2)o1,CN(C)C(=O)c1nnc(-c2ccccc2)o1,-7.666,11
54,O=C(N1CCCC1)c1nnc(-c2ccccc2)o1,O=C(c1nnc(-c2ccccc2)o1)N1CCCC1,O=C(c1nnc(-c2ccccc2)o1)N1CCCC1,-8.905,4
55,O=C(Nc1ccccc1)c1nnc(-c2ccccc2)o1,O=C(Nc1ccccc1)c1nnc(-c2ccccc2)o1,O=C(Nc1ccccc1)c1nnc(-c2ccccc2)o1,-8.89,11
56,C1N(C(c2nnc(Cc3ccccc3)o2)=O)CCCC1,O=C(c1nnc(Cc2ccccc2)o1)N1CCCCC1,O=C(c1nnc(Cc2ccccc2)o1)N1CCCCC1,-8.758,43
57,C1N(C(c2nnc(C)o2)=O)CCCC1,Cc1nnc(C(=O)N2CCCCC2)o1,Cc1nnc(C(=O)N2CCCCC2)o1,-6.434,42
58,C1N(C(c2nnc(-c3ccccc3)o2)=O)CC1,O=C(c1nnc(-c2ccccc2)o1)N1CCC1,O=C(c1nnc(-c2ccccc2)o1)N1CCC1,-8.269,4
59,N(C(c1nnc(-c2ccccc2)o1)=O)C,CNC(=O)c1nnc(-c2ccccc2)o1,CNC(=O)c1nnc(-c2ccccc2)o1,-7.533,11
60,C1CCN(C(=O)c2sc(-c3ccccc3)nn2)CC1,O=C(c1nnc(-c2ccccc2)s1)N1CCCCC1,O=C(c1nnc(-c2ccccc2)s1)N1CCCCC1,-8.679,41
61,Clc1ccc(-c2nnc(C(N3CCCCC3)=O)o2)cc1,O=C(c1nnc(-c2ccc(Cl)cc2)o1)N1CCCCC1,O=C(c1nnc(-c2ccc(Cl)cc2)o1)N1CCCCC1,-9.234,4
62,Fc1ccc(-c2nnc(C(N3CCCCC3)=O)o2)cc1,O=C(c1nnc(-c2ccc(F)cc2)o1)N1CCCCC1,O=C(c1nnc(-c2ccc(F)cc2)o1)N1CCCCC1,-9.133,4
63,c1ccc(-c2nnc(C(N3CCCCC3)=O)o2)cc1Cl,O=C(c1nnc(-c2cccc(Cl)c2)o1)N1CCCCC1,O=C(c1nnc(-c2cccc(Cl)c2)o1)N1CCCCC1,-9.545,4
64,c1ccc(-c2nnc(C(N3CCCCC3)=O)o2)cc1F,O=C(c1nnc(-c2cccc(F)c2)o1)N1CCCCC1,O=C(c1nnc(-c2cccc(F)c2)o1)N1CCCCC1,-9.162,4
65,C1CCCCN1C(=O)c1oc(C2CCCCC2)nn1,O=C(c1nnc(C2CCCCC2)o1)N1CCCCC1,O=C(c1nnc(C2CCCCC2)o1)N1CCCCC1,-9.15,40
66,[C@H]12C[C@@]3(NC(c4ccccc4)=O)C[C@H](C[C@@H](C1)C3)C2,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccccc1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccccc1,-9.701,23
