sdf_number,annalog,protonated,isomers,docking_energy,cluster
1,C1C2CC3CC(NC(=O)c4nn([C@H]5CC[C@H](O)CC5)c(-c5ccccc5)c4C)(CC1C3)C2,Cc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)nn([C@H]2CC[C@H](O)CC2)c1-c1ccccc1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn([C@H]2CC[C@H](O)CC2)c1-c1ccccc1,-12.585,0
2,C1C2CC3CC(NC(=O)c4nn(-c5ccc(OC)cc5)c(-c5ccccc5)c4C)(CC1C3)C2,COc1ccc(-n2nc(C(=O)NC34CC5CC(CC(C5)C3)C4)c(C)c2-c2ccccc2)cc1,COc1ccc(-n2nc(C(=O)N[C@]34C[C@H]5C[C@H](C[C@H](C5)C3)C4)c(C)c2-c2ccccc2)cc1,-11.431,3
3,C12CC3CC(NC(=O)c4[nH]nc(-c5ccccc5)c4C)(CC1C3)C2,Cc1c(-c2ccccc2)n[nH]c1C(=O)NC12CC3CC(C1)C(C3)C2,Cc1c(-c2ccccc2)n[nH]c1C(=O)N[C@]12C[C@@H]3C[C@H](C1)[C@@H](C3)C2,-10.673,36
4,C12CC3CC(NC(=O)c4[nH]nc(-c5ccccc5)c4C)(CC1C3)C2,Cc1c(C(=O)NC23CC4CC(C2)C(C4)C3)n[nH]c1-c1ccccc1,Cc1c(C(=O)N[C@]23C[C@@H]4C[C@H](C2)[C@@H](C4)C3)n[nH]c1-c1ccccc1,-10.574,36
5,C1C2CC3CC(NC(=O)c4nn(CCCCC=C)c(-c5ccccc5)c4C)(CC1C3)C2,C=CCCCCn1nc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(C)c1-c1ccccc1,C=CCCCCn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)c(C)c1-c1ccccc1,-11.793,0
6,C(C)(NC(=O)c1nn(CCCCCO)c(-c2ccccc2)c1C)C,Cc1c(C(=O)NC(C)C)nn(CCCCCO)c1-c1ccccc1,Cc1c(C(=O)NC(C)C)nn(CCCCCO)c1-c1ccccc1,-8.133,9
7,C1C2CC3CC(NC(=O)c4n[nH]c5ccccc54)(CC1C3)C2,O=C(NC12CC3CC(CC(C3)C1)C2)c1n[nH]c2ccccc12,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1n[nH]c2ccccc12,-10.379,35
8,C1C2CC3CC(NC(=O)c4n[nH]c5ccccc54)(CC1C3)C2,O=C(NC12CC3CC(CC(C3)C1)C2)c1[nH]nc2ccccc12,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1[nH]nc2ccccc12,-10.074,35
9,C1C2CC3CC(NC(=O)c4nn(CC6CC6)c(-c5ccccc5)c4C)(CC1C3)C2,Cc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)nn(CC2CC2)c1-c1ccccc1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(CC2CC2)c1-c1ccccc1,-11.993,0
10,C1C2CC3CC(NC(=O)c4nn(-c5ccc(OC)cc5)cc4C)(CC1C3)C2,COc1ccc(-n2cc(C)c(C(=O)NC34CC5CC(CC(C5)C3)C4)n2)cc1,COc1ccc(-n2cc(C)c(C(=O)N[C@]34C[C@H]5C[C@H](C[C@H](C5)C3)C4)n2)cc1,-10.178,3
11,C1C2CC3CC(NC(=O)c4nn(C)c(-c5ccc(F)cc5F)c4C)(CC1C3)C2,Cc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)nn(C)c1-c1ccc(F)cc1F,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(C)c1-c1ccc(F)cc1F,-11.581,34
12,C1C2CC3CC(CCNC(=O)c4nn(CCOC)c(-c5ccccc5)c4C)(CC1C3)C2,COCCn1nc(C(=O)NCCC23CC4CC(CC(C4)C2)C3)c(C)c1-c1ccccc1,COCCn1nc(C(=O)NCC[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)c(C)c1-c1ccccc1,-10.679,33
13,CC1C2CC3CC(NC(=O)c4nn(CCCN5CCOCC5)c(-c5ccccc5)c4C)(CC1C3)C2,Cc1c(C(=O)NC23CC4CC(C2)C(C)C(C4)C3)nn(CCC[NH+]2CCOCC2)c1-c1ccccc1,Cc1c(C(=O)N[C@]23C[C@@H]4C[C@H](C2)[C@@H](C)[C@@H](C4)C3)nn(CCC[NH+]2CCOCC2)c1-c1ccccc1,-12.555,0
14,CC1C2CC3CC(NC(=O)c4nn(CCCN5CCOCC5)c(-c5ccccc5)c4C)(CC1C3)C2,Cc1c(C(=O)NC23CC4CC(C2)C(C)C(C4)C3)nn(CCC[NH+]2CCOCC2)c1-c1ccccc1,Cc1c(C(=O)N[C@]23C[C@@H]4C[C@H](C2)[C@H](C)[C@@H](C4)C3)nn(CCC[NH+]2CCOCC2)c1-c1ccccc1,-12.645,0
15,C12CC3CC(NC(=O)c4nn(C5CCCC5)c(-c5ccccc5)c4C)(CC(C1)C3)C2,Cc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)nn(C2CCCC2)c1-c1ccccc1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(C2CCCC2)c1-c1ccccc1,-12.126,0
16,C1C2CC3CC(NC(=O)C4=NN(Cc5ccccc5)C4)(CC1C3)C2,O=C(NC12CC3CC(CC(C3)C1)C2)c1cn(Cc2ccccc2)[nH]1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cn(Cc2ccccc2)[nH]1,-10.512,72
17,C1C2CC3CC(NC(=O)c4nn(Cc5ccc(Cl)cc5)c(-c5ccccc5)c4CC1C3)C2,O=C1NC2CC3CC(Cc4c1nn(Cc1ccc(Cl)cc1)c4-c1ccccc1)CC(C3)C2,O=C1N[C@@H]2C[C@@H]3C[C@H](Cc4c1nn(Cc1ccc(Cl)cc1)c4-c1ccccc1)C[C@@H](C3)C2,-9.233,71
18,CN(C)CCNC(=O)c1nn(CCCCCO)c(-c2ccccc2)c1C,Cc1c(C(=O)NCC[NH+](C)C)nn(CCCCCO)c1-c1ccccc1,Cc1c(C(=O)NCC[NH+](C)C)nn(CCCCCO)c1-c1ccccc1,-8.315,9
19,C1C2CC3CC(NC(=O)c4n(CCCOC)ncc4)(CC1C3)C2,COCCCn1nccc1C(=O)NC12CC3CC(CC(C3)C1)C2,COCCCn1nccc1C(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,-8.739,70
20,C1C2CC3CC(NC(=O)c4nn(-c5ccc(F)cc5F)cc4)(CC1C3)C2,O=C(NC12CC3CC(CC(C3)C1)C2)c1ccn(-c2ccc(F)cc2F)n1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccn(-c2ccc(F)cc2F)n1,-10.685,69
21,C1C2CC3CC(NC(=O)c4nn(-c5cc(F)cc(F)c5F)c(-c5ccccc5)c4C)(CC1C3)C2,Cc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)nn(-c2cc(F)cc(F)c2F)c1-c1ccccc1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(-c2cc(F)cc(F)c2F)c1-c1ccccc1,-11.322,3
22,C1C2C3CC(NC(=O)c4nn(C/C=C/c5ccccc5)c(C)c4C)(CC1C3)C2,Cc1c(C(=O)NC23CC4CC(C2)C(C4)C3)nn(C/C=C/c2ccccc2)c1C,Cc1c(C(=O)N[C@]23C[C@@H]4C[C@H](C2)[C@@H](C4)C3)nn(C/C=C/c2ccccc2)c1C,-11.756,68
23,C1C2C[C@]3(C)CC(NC(=O)c4nn(CCCCCO)c(-c5ccccc5)c4C)(C[C@H]1C3)C2,Cc1c(C(=O)NC23CC4C[C@@H](C2)C[C@](C)(C4)C3)nn(CCCCCO)c1-c1ccccc1,Cc1c(C(=O)N[C@@]23C[C@@H]4C[C@@H](C[C@@](C)(C4)C2)C3)nn(CCCCCO)c1-c1ccccc1,-11.603,0
24,C1CCCC(NC(=O)c2nn(CCCCCO)c(-c3ccccc3)c2CC2CCCCC2)C1,O=C(NC1CCCCC1)c1nn(CCCCCO)c(-c2ccccc2)c1CC1CCCCC1,O=C(NC1CCCCC1)c1nn(CCCCCO)c(-c2ccccc2)c1CC1CCCCC1,-10.253,67
25,C1C2CC3CC(NC(=O)c4[nH]cc(-c5ccccc5C)c4)(CC1C3)C2,Cc1ccccc1-c1c[nH]c(C(=O)NC23CC4CC(CC(C4)C2)C3)c1,Cc1ccccc1-c1c[nH]c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)c1,-11.234,66
26,C1C2CC3(NC(=O)c4nn(-c5ccccc5O)c(-c5ccccc5)c4C)C(CC1C3)C2,Cc1c(C(=O)NC23CC4CC(CC2C4)C3)nn(-c2ccccc2O)c1-c1ccccc1,Cc1c(C(=O)N[C@@]23C[C@@H]4C[C@@H](C[C@H]2C4)C3)nn(-c2ccccc2O)c1-c1ccccc1,-10.96,32
27,C12CC3CC(NC(=O)c4nn(C5CCCC5)c(-c5ccccc5)c4C)C(CC(C1)C3)C2,Cc1c(C(=O)NC2CC3CC4CC(C3)CC2C4)nn(C2CCCC2)c1-c1ccccc1,Cc1c(C(=O)N[C@@H]2C[C@@H]3C[C@H]4C[C@@H](C3)C[C@@H]2C4)nn(C2CCCC2)c1-c1ccccc1,-11.147,19
28,C12CC3CC(NC(=O)c4nn(C5CCCC5)c(-c5ccccc5)c4C)C(CC(C1)C3)C2,Cc1c(C(=O)NC2CC3CC4CC(C3)CC2C4)nn(C2CCCC2)c1-c1ccccc1,Cc1c(C(=O)N[C@H]2C[C@@H]3C[C@H]4C[C@@H](C3)C[C@@H]2C4)nn(C2CCCC2)c1-c1ccccc1,-11.333,19
29,FC12CC3CC(NC(=O)CNC(=O)c4nn(C)c(-c5ccccc5)c4C)(CC1C3)C2,Cc1c(C(=O)NCC(=O)NC23CC4CC(C2)C(F)(C4)C3)nn(C)c1-c1ccccc1,Cc1c(C(=O)NCC(=O)N[C@@]23C[C@H]4C[C@@H](C2)[C@](F)(C4)C3)nn(C)c1-c1ccccc1,-11.711,31
30,FC12CC3CC(NC(=O)CNC(=O)c4nn(C)c(-c5ccccc5)c4C)(CC1C3)C2,Cc1c(C(=O)NCC(=O)NC23CC4CC(C2)C(F)(C4)C3)nn(C)c1-c1ccccc1,Cc1c(C(=O)NCC(=O)N[C@]23C[C@@H]4C[C@H](C2)[C@@](F)(C4)C3)nn(C)c1-c1ccccc1,-11.323,31
31,C1CC(NC(=O)c2nn(C3CCOC3)c(-c3ccccc3)c2C)C1,Cc1c(C(=O)NC2CCC2)nn(C2CCOC2)c1-c1ccccc1,Cc1c(C(=O)NC2CCC2)nn([C@@H]2CCOC2)c1-c1ccccc1,-9.113,8
32,C1CC(NC(=O)c2nn(C3CCOC3)c(-c3ccccc3)c2C)C1,Cc1c(C(=O)NC2CCC2)nn(C2CCOC2)c1-c1ccccc1,Cc1c(C(=O)NC2CCC2)nn([C@H]2CCOC2)c1-c1ccccc1,-8.878,8
33,C1(CN)C2CC3CC(NC(=O)c4nn(CCCCC5CCNCC5)c(-c5ccccc5)c4C)(CC1C3)C2,Cc1c(C(=O)NC23CC4CC(C2)C(C[NH3+])C(C4)C3)nn(CCCCC2CC[NH2+]CC2)c1-c1ccccc1,Cc1c(C(=O)N[C@]23C[C@@H]4C[C@H](C2)[C@H](C[NH3+])[C@@H](C4)C3)nn(CCCCC2CC[NH2+]CC2)c1-c1ccccc1,-12.336,0
