sdf_number,annalog,protonated,isomers
1,c1n(CCC)c(-c2ccc(F)cc2)c(Br)c1C(N[C@@]12C(=O)[C@H]3C[C@@H](C1)C[C@@H](C2)C3)=O,CCCn1cc(C(=O)N[C@@]23C[C@@H]4C[C@@H](C[C@@H](C4)C2=O)C3)c(Br)c1-c1ccc(F)cc1,CCCn1cc(C(=O)N[C@@]23C[C@@H]4C[C@@H](C[C@@H](C4)C2=O)C3)c(Br)c1-c1ccc(F)cc1
2,c1n(CCC(C)C)c(-c2ccc3c(c2)CCC(C)(C)O3)c(C)c1C(N[C@@]12C(=O)[C@H]3C[C@@H](C1)C[C@@H](C2)C3)=O,Cc1c(C(=O)N[C@@]23C[C@@H]4C[C@@H](C[C@@H](C4)C2=O)C3)cn(CCC(C)C)c1-c1ccc2c(c1)CCC(C)(C)O2,Cc1c(C(=O)N[C@@]23C[C@@H]4C[C@@H](C[C@@H](C4)C2=O)C3)cn(CCC(C)C)c1-c1ccc2c(c1)CCC(C)(C)O2
3,N(N)C(c1ccc(Cl)cc1)=O,NNC(=O)c1ccc(Cl)cc1,NNC(=O)c1ccc(Cl)cc1
4,n1nn(Cc2cc(OC)c(OC)c(OC)c2)c(CC)c1C(N[C@@]12C(=O)[C@H]3C[C@@H](C1)C[C@@H](C2)C3)=O,CCc1c(C(=O)N[C@@]23C[C@@H]4C[C@@H](C[C@@H](C4)C2=O)C3)nnn1Cc1cc(OC)c(OC)c(OC)c1,CCc1c(C(=O)N[C@@]23C[C@@H]4C[C@@H](C[C@@H](C4)C2=O)C3)nnn1Cc1cc(OC)c(OC)c(OC)c1
5,c1n(CC)c2c(c1N)-c1nc[nH]c1CC2,CCn1cc(N)c2c1CCc1[nH]cnc1-2,CCn1cc(N)c2c1CCc1[nH]cnc1-2
6,c1n(CC)c2c(c1N)-c1nc[nH]c1CC2,CCn1cc(N)c2c1CCc1nc[nH]c1-2,CCn1cc(N)c2c1CCc1nc[nH]c1-2
7,c1n(CC)c2c(c1N)-c1nc[nH]c1CC2,CCn1cc(N)c2c1CCc1[nH]c[nH+]c1-2,CCn1cc(N)c2c1CCc1[nH]c[nH+]c1-2
8,c1(/C=C\c2ccc(OC(F)(F)F)cc2)sc(C(F)(F)F)c(Cl)c1C(N[C@@]12C(=O)[C@H]3C[C@@H](C1)C[C@@H](C2)C3)=O,O=C(N[C@@]12C[C@@H]3C[C@@H](C[C@@H](C3)C1=O)C2)c1c(/C=C\c2ccc(OC(F)(F)F)cc2)sc(C(F)(F)F)c1Cl,O=C(N[C@@]12C[C@@H]3C[C@@H](C[C@@H](C3)C1=O)C2)c1c(/C=C\c2ccc(OC(F)(F)F)cc2)sc(C(F)(F)F)c1Cl
9,c1n(-c2ccc(Cl)c(Cl)c2)c(SCCNC)c(C(=O)NN)n1,C[NH2+]CCSc1c(C(=O)NN)ncn1-c1ccc(Cl)c(Cl)c1,C[NH2+]CCSc1c(C(=O)NN)ncn1-c1ccc(Cl)c(Cl)c1
10,c1n(-c2ccc(Cl)c(Cl)c2)c(SCCNC)c(C(=O)NN)n1,C[NH2+]CCSc1c(C(=O)NN)[nH+]cn1-c1ccc(Cl)c(Cl)c1,C[NH2+]CCSc1c(C(=O)NN)[nH+]cn1-c1ccc(Cl)c(Cl)c1
11,C1CCc2n3c(cnc3-c3ccc(F)cc3)[nH]c2N1[C@@]12C(=O)[C@H]3C[C@@H](C1)C[C@@H](C2)C3,O=C1[C@@H]2C[C@H]3C[C@@H](C2)C[C@]1(N1CCCc2c1[nH]c1cnc(-c4ccc(F)cc4)n21)C3,O=C1[C@@H]2C[C@H]3C[C@@H](C2)C[C@]1(N1CCCc2c1[nH]c1cnc(-c4ccc(F)cc4)n21)C3
12,C1CCc2n3c(cnc3-c3ccc(F)cc3)[nH]c2N1[C@@]12C(=O)[C@H]3C[C@@H](C1)C[C@@H](C2)C3,O=C1[C@@H]2C[C@H]3C[C@@H](C2)C[C@]1(N1CCCc2c1[nH]c1c[nH+]c(-c4ccc(F)cc4)n21)C3,O=C1[C@@H]2C[C@H]3C[C@@H](C2)C[C@]1(N1CCCc2c1[nH]c1c[nH+]c(-c4ccc(F)cc4)n21)C3
13,[C@@H]12C[C@@H]3C[C@@H](C[C@@](NC(=O)/C=C/c4ccccc4)(C3=O)C1)C2,O=C(/C=C/c1ccccc1)N[C@@]12C[C@@H]3C[C@@H](C[C@@H](C3)C1=O)C2,O=C(/C=C/c1ccccc1)N[C@@]12C[C@@H]3C[C@@H](C[C@@H](C3)C1=O)C2
14,[C@@H]12C[C@@H]3C[C@@H](C[C@@](NC(=O)c4ccc(-c5ccccc5)cc4)(C3=O)C1)C2,O=C(N[C@@]12C[C@@H]3C[C@@H](C[C@@H](C3)C1=O)C2)c1ccc(-c2ccccc2)cc1,O=C(N[C@@]12C[C@@H]3C[C@@H](C[C@@H](C3)C1=O)C2)c1ccc(-c2ccccc2)cc1
15,[C@@H]12C[C@@H]3C[C@@H](C[C@@](NC(=O)NCCc4cc(Cl)c(Cl)cc4)(C3=O)C1)C2,O=C(NCCc1ccc(Cl)c(Cl)c1)N[C@@]12C[C@@H]3C[C@@H](C[C@@H](C3)C1=O)C2,O=C(NCCc1ccc(Cl)c(Cl)c1)N[C@@]12C[C@@H]3C[C@@H](C[C@@H](C3)C1=O)C2
16,[C@@H]12C[C@@H]3C[C@@H](C[C@@](NC(=O)c4c5c(cc(OC)c4)CCC5)(C3=O)C1)C2,COc1cc2c(c(C(=O)N[C@@]34C[C@@H]5C[C@@H](C[C@@H](C5)C3=O)C4)c1)CCC2,COc1cc2c(c(C(=O)N[C@@]34C[C@@H]5C[C@@H](C[C@@H](C5)C3=O)C4)c1)CCC2
