annalog,protonated,isomers
c1c(-c2c(C)c(C(=O)N[C@]34C(=O)[C@H]5C[C@@H](C[C@H](C5)C3)C4)cn2[C@@H](c2ccc(Cl)cc2)C)cccc1,Cc1c(C(=O)N[C@]23C[C@@H]4C[C@H](C[C@H](C4)C2=O)C3)cn([C@H](C)c2ccc(Cl)cc2)c1-c1ccccc1,Cc1c(C(=O)N[C@]23C[C@@H]4C[C@H](C[C@H](C4)C2=O)C3)cn([C@H](C)c2ccc(Cl)cc2)c1-c1ccccc1
c1c(-c2c(C)c(C(=O)N[C@@H]3C[C@H]4C[C@H](C[C@H](C4)C3)C4)cn2[C@@H](c2ccc(Cl)cc2)C4)cccc1,Cc1c2cn(c1-c1ccccc1)[C@@H](c1ccc(Cl)cc1)CC[C@H]1C[C@@H]3C[C@H](C1)C[C@H](C3)NC2=O,Cc1c2cn(c1-c1ccccc1)[C@@H](c1ccc(Cl)cc1)CC[C@H]1C[C@@H]3C[C@H](C1)C[C@H](C3)NC2=O
c1cc(-c2c(C)c(C(=O)N[C@]34C(=O)[C@H]5C[C@H]([C@@H](C5)C3)C4)c(C)n2[C@@H](c2ccc(Cl)cc2)C)cc2c1OCO2,Cc1c(C(=O)N[C@]23C[C@@H]4C[C@H](C[C@H]4C2)C3=O)c(C)n([C@H](C)c2ccc(Cl)cc2)c1-c1ccc2c(c1)OCO2,Cc1c(C(=O)N[C@]23C[C@@H]4C[C@H](C[C@H]4C2)C3=O)c(C)n([C@H](C)c2ccc(Cl)cc2)c1-c1ccc2c(c1)OCO2
[C@@]12(NC(=O)c3c(C)c(-c4ccccc4)n([C@H](c4ccccc4)C)c3)C[C@@H]3C[C@@H](C[C@@H](C1)C3)C2=O,Cc1c(C(=O)N[C@]23C[C@H]4C[C@@H](C[C@H](C4)C2=O)C3)cn([C@@H](C)c2ccccc2)c1-c1ccccc1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@@H](C[C@H](C4)C2=O)C3)cn([C@@H](C)c2ccccc2)c1-c1ccccc1
[C@]12(NC(=O)c3cc(-c4ccccc4)cc(C(N4CCCC4)=O)c3)C[C@@H]3C[C@@H](C[C@H](C1)C3)C2=O,O=C(N[C@]12C[C@@H]3C[C@@H](C[C@@H](C3)C1=O)C2)c1cc(C(=O)N2CCCC2)cc(-c2ccccc2)c1,O=C(N[C@]12C[C@@H]3C[C@@H](C[C@@H](C3)C1=O)C2)c1cc(C(=O)N2CCCC2)cc(-c2ccccc2)c1
c1(-c2n(C3CCCCC3)cc(C(NC[C@]34C[C@H]5C[C@@H](C3)C[C@@H](C5)C4)=O)c2C)cnc2c(c1)cccc2,Cc1c(C(=O)NC[C@]23C[C@@H]4C[C@H](C[C@@H](C4)C2)C3)cn(C2CCCCC2)c1-c1cnc2ccccc2c1,Cc1c(C(=O)NC[C@]23C[C@@H]4C[C@H](C[C@@H](C4)C2)C3)cn(C2CCCCC2)c1-c1cnc2ccccc2c1
c1(-c2n(CC3CCCCC3)nc(C(NC[C@]34C[C@@H]5C[C@H](C3)[C@H](C5)C4)=O)c2[N+]#[C-])ccccc1,[C-]#[N+]c1c(C(=O)NC[C@]23C[C@H]4C[C@H](C[C@@H]4C2)C3)nn(CC2CCCCC2)c1-c1ccccc1,[C-]#[N+]c1c(C(=O)NC[C@]23C[C@H]4C[C@H](C[C@@H]4C2)C3)nn(CC2CCCCC2)c1-c1ccccc1
[C@@H]12C[C@H]3C[C@](CNC(c4c(C)cn(CC5CCCCC5)c4Cl)=O)(C[C@@H](C1)C3)C2,Cc1cn(CC2CCCCC2)c(Cl)c1C(=O)NC[C@]12C[C@H]3C[C@@H](C[C@H](C3)C1)C2,Cc1cn(CC2CCCCC2)c(Cl)c1C(=O)NC[C@]12C[C@H]3C[C@@H](C[C@H](C3)C1)C2
c1(Br)ccc(C[C@H]2[C@H](C(N/C=C3\[C@H]4[C@@](/C=C\C(C)(C)C)(O4)O3)=O)C[C@@H]2c2ccccc2)cc1,CC(C)(C)/C=C\[C@]12O/C(=C/NC(=O)[C@@H]3C[C@H](c4ccccc4)[C@H]3Cc3ccc(Br)cc3)[C@@H]1O2,CC(C)(C)/C=C\[C@]12O/C(=C/NC(=O)[C@@H]3C[C@H](c4ccccc4)[C@H]3Cc3ccc(Br)cc3)[C@@H]1O2
C1[C@@H](c2ccccc2)C[C@H](C(N[C@]23C[C@H]4C[C@H](C[C@@H](C4)C2)C3)=O)C1,O=C(N[C@]12C[C@H]3C[C@@H](C[C@H](C3)C1)C2)[C@@H]1CC[C@@H](c2ccccc2)C1,O=C(N[C@]12C[C@H]3C[C@@H](C[C@H](C3)C1)C2)[C@@H]1CC[C@@H](c2ccccc2)C1
c1c(C)c(C([C@H]2[C@@H](c3ccccc3)C[C@@H](C(N[C@@]34C[C@H]5C[C@H](C[C@@H](C3)C5)C4)=O)C2)=O)ccc1C,Cc1ccc(C(=O)[C@@H]2C[C@H](C(=O)N[C@]34C[C@@H]5C[C@@H](C[C@@H](C5)C3)C4)C[C@@H]2c2ccccc2)c(C)c1,Cc1ccc(C(=O)[C@@H]2C[C@H](C(=O)N[C@]34C[C@@H]5C[C@@H](C[C@@H](C5)C3)C4)C[C@@H]2c2ccccc2)c(C)c1
