annalog,protonated,isomers
C1[C@H]2C[C@@]3(CCNc4n(CC=C)c5n(cnn5)n4)C[C@@H](C[C@H]1C3)C2,C=CCn1c(NCC[C@]23C[C@@H]4C[C@@H](C[C@@H](C4)C2)C3)nn2cnnc12,C=CCn1c(NCC[C@]23C[C@@H]4C[C@@H](C[C@@H](C4)C2)C3)nn2cnnc12
[C@@H]12C[C@H]3[C@@H](CCNc4nc5n(cnn5)n4C[C@@H]1CC3)CO2,c1nnc2nc3n(n12)C[C@@H]1CC[C@H]2C[C@H]1OC[C@@H]2CCN3,c1nnc2nc3n(n12)C[C@@H]1CC[C@H]2C[C@H]1OC[C@@H]2CCN3
c12c(ccc(N([C@@]34C[C@@H]5C(=O)[C@H](C[C@@H](C5)C3)C4)C)n1)[nH]c(-c1c[nH]nc1)c2,CN(c1ccc2[nH]c(-c3cn[nH]c3)cc2n1)[C@]12C[C@H]3C[C@H](C[C@H](C1)C3=O)C2,CN(c1ccc2[nH]c(-c3cn[nH]c3)cc2n1)[C@]12C[C@H]3C[C@H](C[C@H](C1)C3=O)C2
c12c(ccc(N([C@@]34C[C@@H]5C(=O)[C@H](C[C@@H](C5)C3)C4)C)n1)[nH]c(-c1c[nH]nc1)c2,CN(c1ccc2nc(-c3cn[nH]c3)cc-2[nH]1)[C@]12C[C@H]3C[C@H](C[C@H](C1)C3=O)C2,CN(c1ccc2nc(-c3cn[nH]c3)cc-2[nH]1)[C@]12C[C@H]3C[C@H](C[C@H](C1)C3=O)C2
c1cccc(-c2nc3ccc(N([C@@]45C[C@@H]6C[C@@H](C[C@H](C6)C4)C5)C)nc3nc2)c1,CN(c1ccc2nc(-c3ccccc3)cnc2n1)[C@]12C[C@H]3C[C@@H](C[C@H](C3)C1)C2,CN(c1ccc2nc(-c3ccccc3)cnc2n1)[C@]12C[C@H]3C[C@@H](C[C@H](C3)C1)C2
C1[C@@H]2C[C@H]3C[C@]1(Nc1[nH]c4cc(-c5ccccc5)nc-4cc1)C[C@H](C3=O)C2,O=C1[C@@H]2C[C@H]3C[C@H]1C[C@@](Nc1ccc4nc(-c5ccccc5)cc-4[nH]1)(C3)C2,O=C1[C@@H]2C[C@H]3C[C@H]1C[C@@](Nc1ccc4nc(-c5ccccc5)cc-4[nH]1)(C3)C2
C1[C@@H]2C[C@H]3C[C@]1(Nc1[nH]c4cc(-c5ccccc5)nc-4cc1)C[C@H](C3=O)C2,O=C1[C@@H]2C[C@H]3C[C@H]1C[C@@](Nc1ccc4[nH]c(-c5ccccc5)cc4n1)(C3)C2,O=C1[C@@H]2C[C@H]3C[C@H]1C[C@@](Nc1ccc4[nH]c(-c5ccccc5)cc4n1)(C3)C2
O=C1[C@H]2C[C@@H]3C[C@@]1(N(c1[nH]c4cc(-c5ccccc5)nc-4c(C)c1)C)C[C@H](C3)C2,Cc1cc(N(C)[C@]23C[C@@H]4C[C@H](C[C@@H](C4)C2=O)C3)[nH]c2cc(-c3ccccc3)nc1-2,Cc1cc(N(C)[C@]23C[C@@H]4C[C@H](C[C@@H](C4)C2=O)C3)[nH]c2cc(-c3ccccc3)nc1-2
O=C1[C@H]2C[C@@H]3C[C@@]1(N(c1[nH]c4cc(-c5ccccc5)nc-4c(C)c1)C)C[C@H](C3)C2,Cc1cc(N(C)[C@]23C[C@@H]4C[C@H](C[C@@H](C4)C2=O)C3)nc2cc(-c3ccccc3)[nH]c12,Cc1cc(N(C)[C@]23C[C@@H]4C[C@H](C[C@@H](C4)C2=O)C3)nc2cc(-c3ccccc3)[nH]c12
c1(-c2cccc(C(N[C@@]34C[C@H]5C[C@H](C[C@@H](C3)C5)C4)=O)c2)nc(Cc2cccc(F)c2)ns1,O=C(N[C@]12C[C@@H]3C[C@@H](C[C@@H](C3)C1)C2)c1cccc(-c2nc(Cc3cccc(F)c3)ns2)c1,O=C(N[C@]12C[C@@H]3C[C@@H](C[C@@H](C3)C1)C2)c1cccc(-c2nc(Cc3cccc(F)c3)ns2)c1
