sdf_number,annalog,protonated,isomers
1,CN(C(C[C@H]1[C@H]2C[C@H]3C[C@@H]1C[C@H](C3)C2)=O)c1cc(C)nc(-c2ccc(F)cc2)n1,Cc1cc(N(C)C(=O)C[C@H]2[C@@H]3C[C@H]4C[C@@H](C3)C[C@@H]2C4)nc(-c2ccc(F)cc2)n1,Cc1cc(N(C)C(=O)C[C@H]2[C@@H]3C[C@H]4C[C@@H](C3)C[C@@H]2C4)nc(-c2ccc(F)cc2)n1
2,N(C(C[C@H]1[C@H]2C[C@H]3C[C@@H]1C[C@H](C3)C2)=O)c1cc(Br)nc(-c2n(C)ccc2)n1,Cn1cccc1-c1nc(Br)cc(NC(=O)C[C@H]2[C@@H]3C[C@H]4C[C@@H](C3)C[C@@H]2C4)n1,Cn1cccc1-c1nc(Br)cc(NC(=O)C[C@H]2[C@@H]3C[C@H]4C[C@@H](C3)C[C@@H]2C4)n1
3,N(C(C[C@H]1[C@H]2C[C@H]3C[C@@H]1C[C@H](C3)C2)=O)c1nc(Cl)nc(Nc2c(F)cc(F)cc2F)n1,O=C(C[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3)Nc1nc(Cl)nc(Nc2c(F)cc(F)cc2F)n1,O=C(C[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3)Nc1nc(Cl)nc(Nc2c(F)cc(F)cc2F)n1
4,N(C(C[C@H]1[C@H]2C[C@H]3C[C@@H]1C[C@H](C3)C2)=O)c1nc(Cl)nc(Nc2c(F)cc(F)cc2F)n1,O=C(C[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3)Nc1nc(Cl)[nH]c(=Nc2c(F)cc(F)cc2F)n1,O=C(C[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3)Nc1nc(Cl)[nH]/c(=N\c2c(F)cc(F)cc2F)n1
5,N(C(C[C@H]1[C@H]2C[C@H]3C[C@@H]1C[C@H](C3)C2)=O)c1nc(Cl)nc(Nc2c(F)cc(F)cc2F)n1,O=C(C[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3)Nc1nc(Cl)[nH]c(=Nc2c(F)cc(F)cc2F)n1,O=C(C[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3)Nc1nc(Cl)[nH]/c(=N/c2c(F)cc(F)cc2F)n1
6,N(C(C[C@H]1[C@H]2C[C@H]3C[C@@H]1C[C@H](C3)C2)=O)c1nc(Cl)nc(Nc2c(F)cc(F)cc2F)n1,O=C(C[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3)Nc1nc(Cl)nc(=Nc2c(F)cc(F)cc2F)[nH]1,O=C(C[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3)Nc1nc(Cl)n/c(=N\c2c(F)cc(F)cc2F)[nH]1
7,N(C(C[C@H]1[C@H]2C[C@H]3C[C@@H]1C[C@H](C3)C2)=O)c1nc(Cl)nc(Nc2c(F)cc(F)cc2F)n1,O=C(C[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3)Nc1nc(Cl)nc(=Nc2c(F)cc(F)cc2F)[nH]1,O=C(C[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3)Nc1nc(Cl)n/c(=N/c2c(F)cc(F)cc2F)[nH]1
8,N(C(C[C@H]1[C@H]2C[C@H]3C[C@@H]1C[C@H](C3)C2)=O)c1nc(Cl)nc(Nc2c(F)cc(F)cc2F)n1,O=C(C[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3)Nc1nc(=Nc2c(F)cc(F)cc2F)nc(Cl)[nH]1,O=C(C[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3)Nc1n/c(=N/c2c(F)cc(F)cc2F)nc(Cl)[nH]1
9,N(C(C[C@H]1[C@H]2C[C@H]3C[C@@H]1C[C@H](C3)C2)=O)c1nc(Cl)nc(Nc2c(F)cc(F)cc2F)n1,O=C(C[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3)Nc1nc(=Nc2c(F)cc(F)cc2F)nc(Cl)[nH]1,O=C(C[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3)Nc1n/c(=N\c2c(F)cc(F)cc2F)nc(Cl)[nH]1
10,N(C(C[C@H]1C2C[C@H]3C[C@@H]1C[C@H](C3)C2)=O)c1ccc(Cl)c(-c2c(Cl)cccc2)n1,O=C(C[C@H]1C2C[C@@H]3C[C@H](C2)C[C@H]1C3)Nc1ccc(Cl)c(-c2ccccc2Cl)n1,O=C(C[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3)Nc1ccc(Cl)c(-c2ccccc2Cl)n1
11,N(C(C([C@H]1[C@H]2C[C@H]3C[C@@H]1C[C@H](C3)C2)=O)=O)c1nccc(C(F)(F)F)n1,O=C(Nc1nccc(C(F)(F)F)n1)C(=O)[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3,O=C(Nc1nccc(C(F)(F)F)n1)C(=O)[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3
12,N(C(CCCOC)=O)c1cc(C)nc(-c2c(F)ccc(Cl)c2)n1,COCCCC(=O)Nc1cc(C)nc(-c2cc(Cl)ccc2F)n1,COCCCC(=O)Nc1cc(C)nc(-c2cc(Cl)ccc2F)n1
