sdf_number,annalog,protonated,isomers,docking_energy,cluster
1,COC([C@@H]1[C@]2(Nc3ccc4sc(C)cc4n3)C[C@H]3C(=O)[C@H](C[C@@H]1C3)C2)=O,COC(=O)[C@H]1[C@@H]2C[C@@H]3C[C@@]1(Nc1ccc4sc(C)cc4n1)C[C@H](C2)C3=O,COC(=O)[C@H]1[C@@H]2C[C@@H]3C[C@@]1(Nc1ccc4sc(C)cc4n1)C[C@H](C2)C3=O,-9.674,65
2,COC([C@@H]1[C@]2(Nc3ccc4sc(C)cc4n3)C[C@H]3C(=O)[C@H](C[C@@H]1C3)C2)=O,COC(=O)[C@H]1[C@@H]2C[C@@H]3C[C@@]1(N=c1ccc4sc(C)cc4[nH]1)C[C@H](C2)C3=O,COC(=O)[C@H]1[C@@H]2C[C@@H]3C[C@@]1(/N=c1\ccc4sc(C)cc4[nH]1)C[C@H](C2)C3=O,-10.829,27
3,COC([C@@H]1[C@]2(Nc3ccc4sc(C)cc4n3)C[C@H]3C(=O)[C@H](C[C@@H]1C3)C2)=O,COC(=O)[C@H]1[C@@H]2C[C@@H]3C[C@@]1(N=c1ccc4sc(C)cc4[nH]1)C[C@H](C2)C3=O,COC(=O)[C@H]1[C@@H]2C[C@@H]3C[C@@]1(/N=c1/ccc4sc(C)cc4[nH]1)C[C@H](C2)C3=O,-9.455,27
4,O(C)C([C@@H]1[C@]2(N(CC)c3ccc4[nH]ccc4n3)C[C@H]3C(=O)[C@H](C[C@@H]1C3)C2)=O,CCN(c1ccc2[nH]ccc2n1)[C@]12C[C@H]3C[C@H](C[C@@H](C1)C3=O)[C@@H]2C(=O)OC,CCN(c1ccc2[nH]ccc2n1)[C@]12C[C@H]3C[C@H](C[C@@H](C1)C3=O)[C@@H]2C(=O)OC,-9.034,115
5,O(C)C([C@@H]1[C@]2(N(CC)c3ccc4[nH]ccc4n3)C[C@H]3C(=O)[C@H](C[C@@H]1C3)C2)=O,CCN(c1ccc2nccc-2[nH]1)[C@]12C[C@H]3C[C@H](C[C@@H](C1)C3=O)[C@@H]2C(=O)OC,CCN(c1ccc2nccc-2[nH]1)[C@]12C[C@H]3C[C@H](C[C@@H](C1)C3=O)[C@@H]2C(=O)OC,-8.704,114
6,C(O)([C@@H]1[C@]2(N(C)c3c4c(oc3)cccc4)C[C@H]3C(=O)[C@H](C[C@@H]1C3)C2)=O,CN(c1coc2ccccc12)[C@]12C[C@H]3C[C@H](C[C@@H](C1)C3=O)[C@@H]2C(=O)[O-],CN(c1coc2ccccc12)[C@]12C[C@H]3C[C@H](C[C@@H](C1)C3=O)[C@@H]2C(=O)[O-],-9.263,113
7,C[C@H]1[C@]2(N(C(C)C)c3ccc4sc(C)cc4n3)C[C@H]3C(=O)[C@H](C[C@@H]1C3)C2,Cc1cc2nc(N(C(C)C)[C@]34C[C@H]5C[C@H](C[C@@H](C3)C5=O)[C@H]4C)ccc2s1,Cc1cc2nc(N(C(C)C)[C@]34C[C@H]5C[C@H](C[C@@H](C3)C5=O)[C@H]4C)ccc2s1,-10.093,67
8,CCOC([C@@H]1[C@]2(N(CC)c3ccc4sc(N)cc4n3)C[C@H]3C(=O)[C@H](C[C@@H]1C3)C2)=O,CCOC(=O)[C@H]1[C@@H]2C[C@@H]3C[C@@]1(N(CC)c1ccc4sc(N)cc4n1)C[C@H](C2)C3=O,CCOC(=O)[C@H]1[C@@H]2C[C@@H]3C[C@@]1(N(CC)c1ccc4sc(N)cc4n1)C[C@H](C2)C3=O,-8.59,14
9,CCOC([C@@H]1[C@]2(N(CC)c3ccc4sc(N)cc4n3)C[C@H]3C(=O)[C@H](C[C@@H]1C3)C2)=O,CCOC(=O)[C@H]1[C@@H]2C[C@@H]3C[C@@]1(N(CC)c1ccc4sc(=N)cc-4[nH]1)C[C@H](C2)C3=O,CCOC(=O)[C@H]1[C@@H]2C[C@@H]3C[C@@]1(N(CC)c1ccc4sc(=N)cc-4[nH]1)C[C@H](C2)C3=O,-8.695,112
10,CCOC([C@@H]1[C@]2(N(C)c3ccc4sc(C(OC)=O)cc4n3)C[C@H]3[C@H](O)[C@H](C[C@@H]1C3)C2)=O,CCOC(=O)[C@H]1[C@@H]2C[C@@H]3C[C@@]1(N(C)c1ccc4sc(C(=O)OC)cc4n1)C[C@H](C2)[C@@H]3O,CCOC(=O)[C@H]1[C@@H]2C[C@@H]3C[C@@]1(N(C)c1ccc4sc(C(=O)OC)cc4n1)C[C@H](C2)[C@@H]3O,-9.337,14
11,[C@](C)([C@@H]1[C@]2(N(C)c3ccc4sccc4n3)C[C@H]3C(=O)[C@H](C[C@@H]1C3)C2)(OCc1ccccc1)O,CN(c1ccc2sccc2n1)[C@]12C[C@H]3C[C@H](C[C@@H](C1)C3=O)[C@@H]2[C@](C)(O)OCc1ccccc1,CN(c1ccc2sccc2n1)[C@]12C[C@H]3C[C@H](C[C@@H](C1)C3=O)[C@@H]2[C@](C)(O)OCc1ccccc1,-10.628,111
