sdf_number,annalog,protonated,isomers,docking_energy
1,n1c(O)c2n(c3c1cc(Cl)cc3)c(N1CCC(CO)CC1)nc2Cl,OCC1CCN(c2nc(Cl)c3c(O)nc4cc(Cl)ccc4n23)CC1,OCC1CCN(c2nc(Cl)c3c(O)nc4cc(Cl)ccc4n23)CC1,-8.561
2,n1c(O)c2n(c3c1cc(Cl)cc3)c(N1CCC(CO)CC1)nc2Cl,O=c1[nH]c2cc(Cl)ccc2n2c(N3CCC(CO)CC3)nc(Cl)c12,O=c1[nH]c2cc(Cl)ccc2n2c(N3CCC(CO)CC3)nc(Cl)c12,-8.751
3,n1c(O)c2n(c3c1cc(Cl)cc3)c(N1CCC(CO)CC1)nc2Cl,OCC1CCN(c2[nH+]c(Cl)c3c(O)nc4cc(Cl)ccc4n23)CC1,OCC1CCN(c2[nH+]c(Cl)c3c(O)nc4cc(Cl)ccc4n23)CC1,-9.243
4,n1c(O)c2n(c3c1cc(Cl)cc3)c(N1CCC(CO)CC1)nc2Cl,O=c1[nH]c2cc(Cl)ccc2n2c(N3CCC(CO)CC3)[nH+]c(Cl)c12,O=c1[nH]c2cc(Cl)ccc2n2c(N3CCC(CO)CC3)[nH+]c(Cl)c12,-7.528
5,n1c(O)c2n(c3c1c(Cl)ccc3)c(N1CCC(Cl)CC1)nc2Cl,Oc1nc2c(Cl)cccc2n2c(N3CCC(Cl)CC3)nc(Cl)c12,Oc1nc2c(Cl)cccc2n2c(N3CCC(Cl)CC3)nc(Cl)c12,-8.62
6,n1c(O)c2n(c3c1c(Cl)ccc3)c(N1CCC(Cl)CC1)nc2Cl,O=c1[nH]c2c(Cl)cccc2n2c(N3CCC(Cl)CC3)nc(Cl)c12,O=c1[nH]c2c(Cl)cccc2n2c(N3CCC(Cl)CC3)nc(Cl)c12,-8.822
7,n1c(O)c2n(c3c1c(Cl)ccc3)c(N1CCC(Cl)CC1)nc2Cl,Oc1nc2c(Cl)cccc2n2c(N3CCC(Cl)CC3)[nH+]c(Cl)c12,Oc1nc2c(Cl)cccc2n2c(N3CCC(Cl)CC3)[nH+]c(Cl)c12,-8.699
8,n1c(O)c2n(c3c1c(Cl)ccc3)c(N1CCC(Cl)CC1)nc2Cl,O=c1[nH]c2c(Cl)cccc2n2c(N3CCC(Cl)CC3)[nH+]c(Cl)c12,O=c1[nH]c2c(Cl)cccc2n2c(N3CCC(Cl)CC3)[nH+]c(Cl)c12,-9.086
9,n1c(O)c2n(c3c1cccc3)c(N1CCC(C)CC1)nc2CC,CCc1nc(N2CCC(C)CC2)n2c1c(O)nc1ccccc12,CCc1nc(N2CCC(C)CC2)n2c1c(O)nc1ccccc12,-8.758
10,n1c(O)c2n(c3c1cccc3)c(N1CCC(C)CC1)nc2CC,CCc1nc(N2CCC(C)CC2)n2c1c(=O)[nH]c1ccccc12,CCc1nc(N2CCC(C)CC2)n2c1c(=O)[nH]c1ccccc12,-9.107
11,n1c(O)c2n(c3c1cccc3)c(N1CCC(C)CC1)nc2CC,CCc1[nH+]c(N2CCC(C)CC2)n2c1c(O)nc1ccccc12,CCc1[nH+]c(N2CCC(C)CC2)n2c1c(O)nc1ccccc12,-8.842
